#   ID      Om                     h                   w_0                sigma_8             Oc         
   0   0.328200000000000   0.676600000000000  -1.237600000000000   0.667700000000000   0.280900000000000
   1   0.101900000000000   0.710400000000000  -1.615400000000000   1.342800000000000   0.054600000000000
   2   0.253600000000000   0.623800000000000  -1.769800000000000   0.667000000000000   0.206300000000000
   3   0.173400000000000   0.658400000000000  -0.522300000000000   0.958100000000000   0.126100000000000
   4   0.375900000000000   0.603400000000000  -0.974100000000000   0.802800000000000   0.328600000000000
   5   0.475800000000000   0.745900000000000  -1.304600000000000   0.604900000000000   0.428500000000000
   6   0.145800000000000   0.803100000000000  -1.449800000000000   1.101700000000000   0.098500000000000
   7   0.309900000000000   0.694000000000000  -1.878400000000000   0.773400000000000   0.262600000000000
   8   0.481500000000000   0.637400000000000  -0.773700000000000   0.537100000000000   0.434200000000000
   9   0.342500000000000   0.800600000000000  -1.501000000000000   0.660200000000000   0.295200000000000
  10   0.548200000000000   0.764500000000000  -1.912700000000000   0.471600000000000   0.500900000000000
  11   0.289800000000000   0.650500000000000  -0.664900000000000   0.734400000000000   0.242500000000000
  12   0.424700000000000   0.681900000000000  -1.198600000000000   0.631300000000000   0.377400000000000
  13   0.397900000000000   0.783300000000000  -1.108800000000000   0.736000000000000   0.350600000000000
  14   0.169100000000000   0.789000000000000  -1.690300000000000   1.147900000000000   0.121800000000000
  15   0.125500000000000   0.756700000000000  -0.987800000000000   0.947900000000000   0.078200000000000
  16   0.514800000000000   0.669100000000000  -1.381200000000000   0.624300000000000   0.467500000000000
  17   0.192800000000000   0.628500000000000  -0.856400000000000   1.105500000000000   0.145500000000000
  18   0.278400000000000   0.715100000000000  -1.067300000000000   0.674700000000000   0.231100000000000
  19   0.210600000000000   0.738800000000000  -0.566700000000000   1.045400000000000   0.163300000000000
  20   0.443000000000000   0.616100000000000  -1.703700000000000   0.687600000000000   0.395700000000000
  21   0.406200000000000   0.812900000000000  -1.986600000000000   0.568900000000000   0.358900000000000
  22   0.229400000000000   0.770600000000000  -0.860200000000000   0.940700000000000   0.182100000000000
  23   0.509500000000000   0.698800000000000  -0.716400000000000   0.565200000000000   0.462200000000000
  24   0.365200000000000   0.727100000000000  -1.541400000000000   0.595800000000000   0.317900000000000
  25   0.290500000000000   0.689800000000000  -1.000000000000000   0.836400000000000   0.243200000000000
